Price,Car,Mileage,Ext_color,Int_color,Transmission,Drivetrain
8975,2019 Nissan Versa 1.6 SV,34081.0,Black,Othe,Automatic,FWD
7950,2015 Chevrolet Spark LS,25465.0,Green,Gree,Automatic,FWD
7298,2015 Nissan Sentra S,57609.0,Black,Gray,CVT,FWD
9598,2016 Jeep Compass Sport,60383.0,White,Gray,CVT,FWD
6999,2014 Nissan Sentra S,80407.0,Black,Gray,CVT,FWD
9599,2015 Chrysler 200 C,73146.0,White,Black,Automatic,FWD
8990,2010 Buick Enclave 2XL,128475.0,Red,Gold,Automatic,AWD
6989,2012 Nissan Sentra 2.0 SR,120454.0,Red,Gray,Automatic,FWD
6250,2011 Buick Regal,98382.0,Gold,Black,Automatic,FWD
9999,2013 Lincoln MKZ Base,82722.0,Beige,Othe,Automatic,FWD
8700,2012 Honda Odyssey EX-L,143359.0,White,Black,Automatic,FWD
7447,2014 Hyundai Elantra Base,75190.0,Black,Black,Automatic,FWD
5995,2015 Chevrolet Spark 1LT,85385.0,Blue,Silve,Automatic,FWD
9800,2017 Nissan Quest SV,93205.0,Black,Gray,CVT,FWD
7483,2010 Volkswagen CC Sport,61599.0,Silve,Black,Automatic,FWD
5990,2010 Hyundai Elantra GLS,63514.0,White,Beige,Automatic,FWD
9995,2015 Nissan Sentra SV,18197.0,Red,Othe,CVT,FWD
7945,2012 Hyundai Sonata GLS,69857.0,Blue,Gray,Automatic,FWD
6500,2012 Volkswagen Golf 2.5L,84503.0,White,Black,Automatic,FWD
9899,2018 Nissan Versa 1.6 SV,42473.0,Blue,Gray,Automatic,FWD
6997,2011 Nissan Rogue SV,83865.0,Black,Black,CVT,FWD
8495,2016 smart ForTwo Pure,32653.0,Silve,Black,Automatic,RWD
9000,2016 Nissan Altima 2.5 S,77000.0,White,Gray,CVT,FWD
8500,2012 Buick Enclave Leather,111000.0,Beige,Beige,Automanual,FWD
6999,2014 FIAT 500L Pop,39591.0,Gray,Gray,Automatic,FWD
6999,2016 Dodge Dart SXT Sport,87848.0,Gray,Black,Automatic,FWD
7995,2013 Ford Fusion S,70027.0,White,Beige,Automatic,FWD
7000,2016 Ford Fusion SE,131873.0,White,Black,Automatic,FWD
6995,2013 Hyundai Sonata SE,96483.0,Blue,Gray,Automatic,FWD
7999,2016 Dodge Journey SE,89076.0,Black,Black,Automatic,FWD
9790,2015 Dodge Dart Limited,62626.0,Gray,Black,Automatic,FWD
10000,2015 Kia Optima LX,46353.0,White,Black,Automatic,FWD
6000,2014 Hyundai Accent GLS,71158.0,Red,Gray,Automatic,FWD
8597,2011 Buick Enclave 1XL,101079.0,Black,Beige,Automatic,FWD
8900,2013 Lincoln MKT Base,97102.0,Red,Beige,Automatic,FWD
5995,2012 Ford Fusion SE,84420.0,Red,Gray,Automatic,FWD
9477,2017 Nissan Sentra SV,54293.0,Blue,Gray,CVT,FWD
9000,2018 Hyundai Accent SE,37724.0,Red,Black,Automatic,FWD
7958,2015 Chevrolet Sonic LT,54775.0,Red,Gray,Automatic,FWD
6988,2014 Volkswagen Jetta SE,63584.0,White,Gray,Automatic,FWD
6500,2011 Volvo S80 3.2,81801.0,Gray,Beige,Automatic,FWD
7994,2014 Kia Forte LX,59830.0,Silve,Gray,Automatic,FWD
7995,2016 Hyundai Elantra SE,50105.0,Black,Beige,Automatic,FWD
6499,2012 Nissan Altima 2.5 S,87333.0,White,Black,CVT,FWD
8000,2010 Chevrolet Equinox 2LT,114637.0,Silve,Black,Automatic,FWD
7800,2014 Hyundai Veloster Base,67000.0,Black,Black,Automatic,FWD
9865,2017 Chevrolet Sonic LT,32515.0,Blue,Black,Manual,FWD
5900,2015 Nissan Versa 1.6 SV,94049.0,Silve,Black,CVT,FWD
9900,2016 Chevrolet Malibu Limited LT,83127.0,Red,Black,Automatic,FWD
6988,2015 Hyundai Elantra SE,87130.0,Silve,Gray,Automatic,FWD
9898,2017 Nissan Sentra SR,43320.0,Red,Gray,Automatic,FWD
7798,2018 Nissan Versa 1.6 SV,59115.0,Silve,Gray,CVT,FWD
8000,2012 Nissan Rogue S,79917.0,Black,Black,CVT,FWD
8489,2016 Volkswagen Jetta 1.4T S w/Technology,58003.0,White,Black,Automatic,FWD
8800,2017 Dodge Journey SXT,76729.0,Gray,Black,Automatic,FWD
7500,2013 Nissan Sentra SV,70604.0,Gray,Gray,CVT,FWD
7500,2015 Kia Forte LX,32300.0,Blue,Gray,Automatic,FWD
6346,2012 Volkswagen CC Sport,80486.0,Black,Black,Automatic,FWD
5990,2014 Volkswagen Passat 1.8T S PZEV,131005.0,Red,Black,Automatic,FWD
6475,2014 Volkswagen CC 2.0T Sport,78059.0,White,Black,Automatic,FWD
6975,2015 Volkswagen Jetta SE PZEV,92961.0,Gray,Black,Automatic,FWD
7999,2014 Chevrolet Cruze LS,60377.0,White,Black,Automatic,FWD
8791,2019 Hyundai Accent SE,32293.0,Gray,Black,Automatic,FWD
9191,2019 Kia Rio S,35958.0,Blue,Black,Automatic,FWD
8491,2017 Nissan Altima SV,63000.0,Othe,Othe,Automatic,FWD
6491,2015 Volkswagen Jetta Auto SE w/Connectivity,67000.0,Black,Black,Automatic,FWD
9491,2016 Toyota Corolla LE,39899.0,Silve,Beige,Automatic,FWD
7495,2010 Volvo S80 3.2,72314.0,Gray,Black,Automatic,FWD
9900,2017 Jeep Patriot Sport,65200.0,Red,Gray,Automatic,FWD
8999,2018 Kia Forte LX,44276.0,White,Black,Automatic,FWD
6998,2013 Hyundai Elantra GLS,55988.0,Blue,Beige,Automatic,FWD
6990,2015 Chrysler 200 Limited,83082.0,Silve,Black,Automatic,FWD
9000,2010 MINI Cooper S Base,44764.0,Brown,Othe,Other / Unknown,FWD
9997,2014 Ford Edge SE,49613.0,Silve,Black,Automatic,FWD
7999,2015 Chrysler 200 Limited,37427.0,Gray,Black,Automatic,FWD
7290,2012 Hyundai Tucson GLS,95201.0,Black,Beige,Automatic,FWD
5995,2016 Nissan Sentra S,34285.0,Gray,Gray,CVT,FWD
